"Name","Rating","Review"
"christineaustin100","5","This book is great! Compelling and interesting with characters you will love and root for! The only kind of inappropriate thing is when Hagrid kisses mcgonagall on the cheek because he is drunk. Also, Harry is an orphan and his parents were killed by a dark wizard which might be upsetting to young children. However, it really depends on the child. This book is full of wonder, excitement, and magic. The ending is not obvious from the very beginning like some books, which makes it an exciting page-turner. There are also great role models, loving friends, and a theme that love can conquer all evil. Please read this book! Or read it to your kid! You will not regret it! You’re never too young or old to become a potterhead!"
"amomof3","5","Me and my kids love Harry Potter. It was our family read aloud where we all take turns to read a page. Even my 16 year old liked it. There is a little violence but I guess that’s life. There are great role models and messages so definitely recommend!"
"Sean M.","5","amazing awesome and great love the characters"
"kdsteadman","5","Hello there, today I am going to talk about why Harry Potter is so great and why you should read it. I mean it is a really good book and you might hear everybody talking about it. Maybe you have never read it because you don't think it is so good but it is. My first reason is if you're a fiction guy or girl you are in luck, because Harry Potter has wizards and witches and they are in training so think about the mistakes they make.There is a zap over here and a zap over there. And, if you're a boy and you like dragons, because did I mention there there a ton of them, and if you like screens you are going to love this because there are movies! My second reason is the setting is a castle. So if you are a girl who likes princesses you might like the sound of a castle. It is also packed with action, with fighting at the end, oh wait I'm spoiling it! Also it is so fascinating because they say if you drink unicorn blood you will live forever, but you would live a hard life, which is weird to me but maybe not for you. Another really good thing about the book is that it is really interesting because I mean how does a wand really work? How is there an invisible wall? Now these are my reasons why you should read Harry Potter. I recommend Harry Potter to anyone who likes fiction and magic. If you like it YOU BETTER GO BUY IT!"
"Lindstheteacher","4","As a child, I was not allowed to read this book due to the mentions of witchcraft. While there is magic, witches, wizards, and other fantasy creatures present in this piece of literature, the story is more a battle of good versus evil. In this book, children should be old enough to understand that some of the choices that the young protagonists make are bad. The characters disobey authority a lot. Another theme throughout this book is the theme of maltreatment. Harry Potter comes from a family who hates him. As an adult, you should discuss with your child why Harry does not think he can be happy. Other than that, it is a great read. Just know your child and discuss with them that magic is not real."
"SuperRosses","5","I think it is good but some language."
"LaurenColsby","5","If your child is ever interested in reading this book I implore you to PLEASE encourage them. My oldest daughter (9) read this book about a year ago and it completely changed her life in the reading aspect. Now because of the books she is more understanding in class and takes on bigger reading challenges. Like most kids though at first she was afraid of the size of the book but once she got into it she couldn’t stop. This book is everything a good book should be and I have read it many times myself, loving it more each time."
"Keira F.","5","I really love this book. I think you should be able grow up with the character. I chose 10 because of that, and because there is a little bit of mean-ish words and violence but I think it depends on the person a lot. ( i don’t know why it says I’m a parent. I’m actually 12)"
"Cyndel J.","5","I gave it a 9 and up age because that is around the age I believe a lot of kids will be ready for independent reading of a story of this level. However, I am reading it to my 6 and 9 year old sons and they love it."
"The_Movie_Critic","5","This book is a great example of the underdog rising up to be the hero. Not much sex, violence, or drinking/drugs. Good storyline and will definitely capture your attention."
"ben H.","5","A real page turner coudn't put it down, my son loves the all the Harry potter books , this got him into reading thanks J.K"
"Martin C.","5","I the story the plot is when Hagrid left harry next to the door with the note and told in the note Voldmort killed Mr. and Mrs. potter ans couldn't kill harry and so they could take care good care of him. The central conflict is when Harry defeated Voldemort . The theme is the triumph over good or evil . I think the book is the b est because it shows determination like no matter how small you are you can still fight a much older person than you. I gave it a five star rate because its amazing how they can tell the fantasy and its very clear every detail."
